Question,Answer A,Answer B,Correct Question A,Correct Question B
선물을 선택할 때,상대방의 필요와 취향을 고려하여 실용적인 선물을 선택한다.,상대방에게 감동을 줄 수 있는 특별한 선물을 선택한다.,Answer T,Answer F
영화를 볼 때,영화의 스토리와 구성을 분석하며 비판적인 시각으로 본다.,영화 속 캐릭터의 감정에 공감하고 스토리에 몰입한다.,Answer T,Answer F
팀 프로젝트에서 갈등이 생겼을 때,객관적인 사실을 바탕으로 문제를 분석하고 해결책을 제시한다.,팀원들의 감정을 이해하고 공감하며 해결 방안을 모색한다.,Answer T,Answer F
팀원에게 피드백을 줄 때,구체적이고 논리적인 근거를 바탕으로 피드백을 제공한다.,상대방의 감정을 고려하며 부드럽게 피드백을 전달한다.,Answer T,Answer F
결정을 내릴 때,데이터와 논리를 기반으로 가장 효율적인 선택을 한다.,팀의 분위기와 구성원들의 감정을 고려하여 선택한다.,Answer T,Answer F
문제를 처리할 때,상황을 객관적으로 분석하고 최적의 해결책을 제시한다.,팀원들의 고민과 불편함을 우선적으로 이해하고 조율한다.,Answer T,Answer F
음식 선택,"메뉴판을 보고 미리 소스를 정하고, 음식과 함께 낸 소스만 사용한다.","음식을 먹으면서 다양한 소스를 곁들여 맛을 비교하고, 새로운 조합을 찾아본다.",Answer J,Answer P
소스 활용 방식,"미리 계획한 메뉴에 맞춰 소스를 사용하고, 정해진 양만큼 사용한다.","요리 중간에 맛을 보며 소스의 양을 조절하고, 새로운 조합을 시도해본다.",Answer J,Answer P
소스 보관,"소스별로 종류를 나누어 정리하고, 유통기한을 꼼꼼히 확인한다.",냉장고 문에 자주 사용하는 소스를 붙여놓고 필요할 때마다 꺼내 쓴다.,Answer J,Answer P
새로운 취미를 시작할 때,관련 정보를 충분히 조사하고 체계적인 계획을 세운 후 시작한다.,우선 경험해 보고 재미있으면 꾸준히 이어나간다.,Answer J,Answer P
여행 계획을 세울 때,상세한 일정과 예산을 계획하고 꼼꼼하게 준비한다.,여행 중에 자유롭게 일정을 변경하며 즉흥적으로 즐긴다.,Answer J,Answer P
프로젝트를 진행할 때,명확한 계획과 일정에 따라 체계적으로 진행한다., 상황에 따라 유연하게 접근하며 변화에 대응한다.,Answer J,Answer P
데드라인이 다가올 때,미리 준비를 완료하고 데드라인 전에 안정적으로 마무리한다.,데드라인 가까이에 집중해서 마무리하며 유연성을 유지한다.,Answer J,Answer P
업무 환경 선호,정해진 프로세스와 체계가 명확한 환경에서 일하기를 선호한다., 자유롭고 변화가 많은 환경에서 창의적으로 일하기를 선호한다.,Answer J,Answer P
